system,tag,c-binding,kconfig-file,tags
linux,v2.6.12,/vagrant/data/c-bindings/linux/v2.6.12.dumpconf,arch/i386/Kconfig,kconfigreader|rsf|features|model|dimacs|cnf|tseytin
linux,v2.6.13,/vagrant/data/c-bindings/linux/v2.6.13.dumpconf,arch/i386/Kconfig,kconfigreader|rsf|features|model|dimacs|cnf|tseytin
linux,v2.6.14,/vagrant/data/c-bindings/linux/v2.6.14.dumpconf,arch/i386/Kconfig,kconfigreader|rsf|features|model|dimacs|cnf|tseytin
linux,v2.6.15,/vagrant/data/c-bindings/linux/v2.6.15.dumpconf,arch/i386/Kconfig,kconfigreader|rsf|features|model|dimacs|cnf|tseytin
linux,v2.6.16,/vagrant/data/c-bindings/linux/v2.6.16.dumpconf,arch/i386/Kconfig,kconfigreader|rsf|features|model|dimacs|cnf|tseytin
linux,v2.6.17,/vagrant/data/c-bindings/linux/v2.6.17.dumpconf,arch/i386/Kconfig,kconfigreader|rsf|features|model|dimacs|cnf|tseytin
linux,v2.6.18,/vagrant/data/c-bindings/linux/v2.6.18.dumpconf,arch/i386/Kconfig,kconfigreader|rsf|features|model|dimacs|cnf|tseytin
linux,v2.6.19,/vagrant/data/c-bindings/linux/v2.6.19.dumpconf,arch/i386/Kconfig,kconfigreader|rsf|features|model|dimacs|cnf|tseytin
linux,v2.6.20,/vagrant/data/c-bindings/linux/v2.6.20.dumpconf,arch/i386/Kconfig,kconfigreader|rsf|features|model|dimacs|cnf|tseytin
linux,v2.6.21,/vagrant/data/c-bindings/linux/v2.6.21.dumpconf,arch/i386/Kconfig,kconfigreader|rsf|features|model|dimacs|cnf|tseytin
linux,v2.6.22,/vagrant/data/c-bindings/linux/v2.6.22.dumpconf,arch/i386/Kconfig,kconfigreader|rsf|features|model|dimacs|cnf|tseytin
linux,v2.6.23,/vagrant/data/c-bindings/linux/v2.6.23.dumpconf,arch/i386/Kconfig,kconfigreader|rsf|features|model|dimacs|cnf|tseytin
linux,v2.6.24,/vagrant/data/c-bindings/linux/v2.6.24.dumpconf,arch/x86/Kconfig,kconfigreader|rsf|features|model|dimacs|cnf|tseytin
linux,v2.6.25,/vagrant/data/c-bindings/linux/v2.6.25.dumpconf,arch/x86/Kconfig,kconfigreader|rsf|features|model|dimacs|cnf|tseytin
linux,v2.6.26,/vagrant/data/c-bindings/linux/v2.6.26.dumpconf,arch/x86/Kconfig,kconfigreader|rsf|features|model|dimacs|cnf|tseytin
linux,v2.6.27,/vagrant/data/c-bindings/linux/v2.6.27.dumpconf,arch/x86/Kconfig,kconfigreader|rsf|features|model|dimacs|cnf|tseytin
linux,v2.6.28,/vagrant/data/c-bindings/linux/v2.6.28.dumpconf,arch/x86/Kconfig,kconfigreader|rsf|features|model|dimacs|cnf|tseytin
linux,v2.6.29,/vagrant/data/c-bindings/linux/v2.6.29.dumpconf,arch/x86/Kconfig,kconfigreader|rsf|features|model|dimacs|cnf|tseytin
linux,v2.6.30,/vagrant/data/c-bindings/linux/v2.6.30.dumpconf,arch/x86/Kconfig,kconfigreader|rsf|features|model|dimacs|cnf|tseytin
linux,v2.6.31,/vagrant/data/c-bindings/linux/v2.6.31.dumpconf,arch/x86/Kconfig,kconfigreader|rsf|features|model|dimacs|cnf|tseytin
linux,v2.6.32,/vagrant/data/c-bindings/linux/v2.6.32.dumpconf,arch/x86/Kconfig,kconfigreader|rsf|features|model|dimacs|cnf|tseytin
linux,v2.6.33,/vagrant/data/c-bindings/linux/v2.6.33.dumpconf,arch/x86/Kconfig,kconfigreader|rsf|features|model|dimacs|cnf|tseytin
linux,v2.6.34,/vagrant/data/c-bindings/linux/v2.6.34.dumpconf,arch/x86/Kconfig,kconfigreader|rsf|features|model|dimacs|cnf|tseytin
linux,v2.6.35,/vagrant/data/c-bindings/linux/v2.6.35.dumpconf,arch/x86/Kconfig,kconfigreader|rsf|features|model|dimacs|cnf|tseytin
linux,v2.6.36,/vagrant/data/c-bindings/linux/v2.6.36.dumpconf,arch/x86/Kconfig,kconfigreader|rsf|features|model|dimacs|cnf|tseytin
