system,tag,c-binding,kconfig-file,tags
linux,v2.6.12,/vagrant/data/c-bindings/linux/v2.6.12.kextractor,arch/i386/Kconfig,kmax|kclause|features|model|dimacs|cnf|tseytin
linux,v2.6.13,/vagrant/data/c-bindings/linux/v2.6.13.kextractor,arch/i386/Kconfig,kmax|kclause|features|model|dimacs|cnf|tseytin
linux,v2.6.14,/vagrant/data/c-bindings/linux/v2.6.14.kextractor,arch/i386/Kconfig,kmax|kclause|features|model|dimacs|cnf|tseytin
linux,v2.6.15,/vagrant/data/c-bindings/linux/v2.6.15.kextractor,arch/i386/Kconfig,kmax|kclause|features|model|dimacs|cnf|tseytin
linux,v2.6.16,/vagrant/data/c-bindings/linux/v2.6.16.kextractor,arch/i386/Kconfig,kmax|kclause|features|model|dimacs|cnf|tseytin
linux,v2.6.17,/vagrant/data/c-bindings/linux/v2.6.17.kextractor,arch/i386/Kconfig,kmax|kclause|features|model|dimacs|cnf|tseytin
linux,v2.6.18,/vagrant/data/c-bindings/linux/v2.6.18.kextractor,arch/i386/Kconfig,kmax|kclause|features|model|dimacs|cnf|tseytin
linux,v2.6.19,/vagrant/data/c-bindings/linux/v2.6.19.kextractor,arch/i386/Kconfig,kmax|kclause|features|model|dimacs|cnf|tseytin
linux,v2.6.20,/vagrant/data/c-bindings/linux/v2.6.20.kextractor,arch/i386/Kconfig,kmax|kclause|features|model|dimacs|cnf|tseytin
linux,v2.6.21,/vagrant/data/c-bindings/linux/v2.6.21.kextractor,arch/i386/Kconfig,kmax|kclause|features|model|dimacs|cnf|tseytin
linux,v2.6.22,/vagrant/data/c-bindings/linux/v2.6.22.kextractor,arch/i386/Kconfig,kmax|kclause|features|model|dimacs|cnf|tseytin
linux,v2.6.23,/vagrant/data/c-bindings/linux/v2.6.23.kextractor,arch/i386/Kconfig,kmax|kclause|features|model|dimacs|cnf|tseytin
linux,v2.6.24,/vagrant/data/c-bindings/linux/v2.6.24.kextractor,arch/x86/Kconfig,kmax|kclause|features|model|dimacs|cnf|tseytin
